SECTION TITLE,DESCRIPTION,Year 1,Conservative,Realistic,Optimistic,NOTES
REVENUE,MEMBERS_ MONTHLY,270,220,560,"2,117",| v2 efficiencies: rev uplift
REVENUE,MEMBERS_PRICE,42,46,56,67,| v2 efficiencies: rev uplift
REVENUE,DAY_PASSES_MONTHLY,250,194,342,693,| v2 efficiencies: rev uplift
REVENUE,DAY_PASS_PRICE,12,12,13,16,| v2 efficiencies: rev uplift
REVENUE,OTHER_REV_MONTH,500,583,700,1000,| v2 efficiencies: rev uplift
CAPITAL EXPENDITURE (SETUP),WALLS_&_MATTS,300000,,,,
CAPITAL EXPENDITURE (SETUP),HOLDS_BUDGET,25000,,,,
CAPITAL EXPENDITURE (SETUP),GENERAL_CONSTRUCTION,95000,,,,
CAPITAL EXPENDITURE (SETUP),STRIP_OUT,20000,,,,
FIXED PREMISES COSTS,RENT,0,"35,000","35,000","35,000","Queensgate guidance | v2 efficiencies: cost efficiency, rent steady-state 35k"
FIXED PREMISES COSTS,BUSINESS_RATES,35000,"35,000","35,000","35,000",Queensgate guidance
FIXED PREMISES COSTS,SERVICE_CHARGE,57850,"56,114","54,958","54,958",Queensgate guidance | v2 efficiencies: cost efficiency
FIXED PREMISES COSTS,UTILITIES,24000,"21,600","20,400","19,200",Queensgate guidance | v2 efficiencies: cost efficiency
STAFFING COSTS,GENERAL_MANAGER,30000,"32,200","28,160","25,500",External hire at £35k (C) vs. experienced or founder-managed at £30–32k (R/O). Based on East England gym manager averages (£33–36k). Founder operation reduces cost and improves DSCR. | v2 efficiencies: cost efficiency
STAFFING COSTS,CLIMBING_INSTRUCTORS,15000,"44,160","39,600","35,700",£26k each (C) for qualified CWI instructors; £24k (R) typical regional rate; £22k (O) with mixed part-time or volunteer cover. Based on ABC Climbing Jobs & UK wall benchmarks. | v2 efficiencies: cost efficiency
STAFFING COSTS,RECEPTION_FRONT_DESK,3500,"16,560","14,080","12,750","25–35 hrs/week coverage; £20k (C) full rota, £18k (R) leaner, £16k (O) shared role or self-check-in system (e.g., Griptonite). Matches small-wall staffing levels. | v2 efficiencies: cost efficiency"
STAFFING COSTS,CLEANER_MAINTENANCE,7000,"10,120","8,800","7,650","Contracted daily 7 days (C £11k), reduced 5–6 days (R £10k), or part-time shared service (O £9k). Based on UK cleaning contractor rates £10–13/hr. | v2 efficiencies: cost efficiency"
