,,Year 1,Conservative,Realistic,Optimistic,NOTES
REVENUE,TOTAL,"178,080","110,868","296,400","996,312",
,MEMBERS_ MONTHLY,270,168,448,"1,512",
,MEMBERS_PRICE,42,42,45,48,
,DAY_PASSES_MONTHLY,250,160,320,630,
,DAY_PASS_PRICE,12,10,12,15,
,OTHER_REV_MONTH,500,583,700,"1,000",
CAPITAL EXPENDITURE (SETUP),TOTAL,"440,000 ",,,,
,WALLS_&_MATTS,"300,000 ",,,,
,HOLDS_BUDGET,"25,000 ",,,,
,GENERAL_CONSTRUCTION,"95,000 ",,,,
,STRIP_OUT,"20,000 ",,,,
FIXED PREMISES COSTS,TOTAL,"116,850 ","186,850 ","186,850 ","186,850 ",
,RENT,0 ,"70,000 ","70,000 ","70,000 ",Queensgate guidance
,BUSINESS_RATES,"35,000 ","35,000 ","35,000 ","35,000 ",Queensgate guidance
,SERVICE_CHARGE,"57,850 ","57,850 ","57,850 ","57,850 ",Queensgate guidance
,UTILITIES,"24,000 ","24,000 ","24,000 ","24,000 ",Queensgate guidance
STAFFING COSTS,TOTAL,"63,500 ","141,600 ","129,600 ","118,800 ",
,GENERAL_MANAGER,30000,"35,000 ","32,000 ","30,000 ",External hire at £35k (C) vs. experienced or founder-managed at £30–32k (R/O). Based on East England gym manager averages (£33–36k). Founder operation reduces cost and improves DSCR.
,CLIMBING_INSTRUCTORS,15000,"52,000 ","48,000 ","44,000 ",£26k each (C) for qualified CWI instructors; £24k (R) typical regional rate; £22k (O) with mixed part-time or volunteer cover. Based on ABC Climbing Jobs & UK wall benchmarks.
,RECEPTION_FRONT_DESK,3500,"20,000 ","18,000 ","16,000 ","25–35 hrs/week coverage; £20k (C) full rota, £18k (R) leaner, £16k (O) shared role or self-check-in system (e.g., Griptonite). Matches small-wall staffing levels."
,CLEANER_MAINTENANCE,7000,"11,000 ","10,000 ","9,000 ","Contracted daily 7 days (C £11k), reduced 5–6 days (R £10k), or part-time shared service (O £9k). Based on UK cleaning contractor rates £10–13/hr."
,PAYROLL_NI_HOLIDAY,8000,"23,600 ","21,600 ","19,800 ","20 % uplift (C/R) covers NI 13.8 %, pension 3 %, holiday/training. 17 % (O) if mostly PT or owner-operated. Based on HMRC employer cost guidance."
OPERATING & MAINTENANCE,TOTAL,"17,850","30,350","27,200","23,550",
,ROUTE_SETTING_&_HOLDS_REPLACEMENT,"4,000","9,000 ","8,000 ","7,000 ","Year 1: 3–4 resets instead of 6, minimal spare holds; use freelance setters at ~£300/day."
,EQUIPMENT_&_PPE_TESTING,"1,200","1,800 ","1,500 ","1,200 ",Year 1: single LOLER + basic inspections; less equipment volume.
,CLEANING_&_WASTE,"2,000","3,500 ","3,000 ","2,500 ",Year 1: small-scale contract or part-time cleaner; reduced bin service frequency.
,REPAIRS_&_MAINTENANCE,"2,000","4,500 ","4,000 ","3,000 ",New fit-out should need limited repair; keep minor contingency only.
,INSURANCE,"6,500","8,000 ","7,500 ","7,000 ",First-year policy discounts often available; smaller insured contents pre-café.
,IT_SOFTWARE_WIFI_CCTV,"1,500","2,800 ","2,500 ","2,200 ",Year 1: use basic POS + single camera system; delay CRM upgrade.
,PRS_MUSIC_LICENCE,650,750 ,700 ,650 ,Mandatory from Day 1 but fixed low cost.
MARKETING,TOTAL,"5,700","16,900","14,000","11,300",
,LAUNCH_CAMPAIGN,"1,500","6,000","5,000","4,000","You’ll handle design and digital ads yourself; cost covers boosted posts, local PR ads, signage, and flyers."
,PAID_ADS_ONGOING,"2,400","7,200","6,000","4,800","Year 1 minimal spend: ~£200/month across Meta + Google; rely heavily on organic reach, content, and partnerships."
,WEBSITE_HOSTING,400,700,600,500,Use existing Squarespace/WordPress subscription and handle SEO/updates yourself.
,PRINT_&_MERCH,600,"1,500","1,200","1,000",Limited signage and posters; produce materials in-house.
,COMMUNITY_EVENTS_LOCAL,800,"1,500","1,200","1,000",Run 1–2 open days or collaborations with nearby leisure outlets; minimal spend on prizes and refreshments.
ADMIN & PROFESSIONAL FEES,TOTAL,"4,300","11,100","9,800","8,500",
,ACCOUNTANCY_BOOKKEEPING,"1,000","3,300","3,000","2,700",Year 1: use small local accountant for year-end + self-manage bookkeeping in Xero or QuickBooks.
,LEGAL_HR,800,"2,200","2,000","1,800","Basic one-off legal review of lease, insurance and H&S templates; postpone ongoing retainers until Year 2."
,BANK_FEES_CARD_PROCESSING,"1,700","4,200","3,600","3,000",First-year turnover smaller → ~1 % of ~£175 k revenue. Update automatically in model to scale with sales.
,OFFICE_SUPPLIES_SOFTWARE,800,"1,400","1,200","1,000",Minimal printing and admin tools; use Google Workspace or Microsoft 365 personal tier.
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,SALARIES,,"112,000",,,Management Estimate
,INSURANCE,,"3,000",,,Supplier Quote
,MARKETING,,"12,000",,,Budget
,MAINTENANCE,,"10,000",,,Budget
,CAPEX_WALLS,,"240,000",,,Supplier Quote
,CAPEX_MATTING,,"60,000",,,Supplier Quote
,CAPEX_HOLDS,,"25,000",,,Benchmark
,CAPEX_EQUIPMENT,,"16,500",,,Budget
,CAPEX_BRANDING,,"20,000",,,Budget
,CAPEX_WORKING_CAPITAL,,"20,000",,,Budget
,CAPEX_CONTINGENCY,,"25,000",,,Best Practice
,VAT_RATE,,20,,,Statutory
,VAT_CLAIM,,Yes,,,Business Registration
,BANK_LOAN,,"250,000",,,Financing Assumption
,EQUITY,,"230,000",,,Owner Capital
,ARRANGEMENT_FEE,,2,,,Benchmark
,INTEREST_ONLY_MONTHS,,6,,,Standard
,REVENUE_GROWTH,,5,,,Benchmark
,OPEX_INFLATION,,4,,,ONS
,EBITDA_MARGIN,,25,,,Derived
,DSCR_THRESHOLD,,1,,,Bank Standard
,LIQUIDITY_THRESHOLD,,2,,,Bank Standard
,LOAN_RATE,,8,,,Benchmark
,LOAN_TERM,,7,,,Standard
,,,,,,
,CAPEX_MEZZANINE,,"120,000",,,Supplier Quote
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
